"point","lat","lon","year","type","int_vol_total","vol_ha","no_trees","avg_tree_vol"
"lo_06A",-9.389016667,-63.03036667,15,"logged",37.162333,20.9956683615819,9,4.12914811111111
"lo_06B",-9.389083333,-63.03123333,15,"logged",33.096148,18.698388700565,7,4.72802114285714
"lo_07A",-9.387583333,-63.02603333,15,"logged",14.858217,8.39447288135593,3,4.952739
"lo_07B",-9.388133333,-63.02681667,15,"logged",16.52977,9.33885310734463,3,5.50992333333333
"lo_10A",-9.383716667,-62.99615,15,"logged",65.364391,36.9290344632768,11,5.94221736363636
"lo_10B",-9.38455,-62.99618333,15,"logged",29.905262,16.8956282485876,5,5.9810524
"lo_18A",-9.371783333,-62.98453333,15,"logged",32.000322,18.0792779661017,4,8.0000805
"lo_18B",-9.3722,-62.98528333,15,"logged",22.341723,12.6224423728814,3,7.447241
"lo_19A",-9.374666667,-62.9767,15,"logged",41.947098,23.6989254237288,5,8.3894196
"lo_19B",-9.374716667,-62.97768333,15,"logged",39.299196,22.2029355932203,4,9.824799
"lo_30A",-9.377966667,-62.95703333,15,"logged",37.381459,21.1194683615819,8,4.672682375
"lo_30B",-9.37795,-62.95796667,15,"logged",29.885052,16.8842101694915,7,4.26929314285714
"lo_31A",-9.378533333,-62.94846667,15,"logged",16.130211,9.11311355932203,4,4.03255275
"lo_31B",-9.378533333,-62.94756667,15,"logged",19.122804,10.8038440677966,4,4.780701
"lo_32A",-9.377366667,-62.94418333,15,"logged",36.58115,20.6673163841808,7,5.22587857142857
"lo_32B",-9.37735,-62.94336667,15,"logged",30.275026,17.1045344632768,5,6.0550052
"ul_07A",-9.40455,-63.07119,15,"primary",0,0,0,0
"ul_07B",-9.40425,-63.07188,15,"primary",0,0,0,0
"ul_08A",-9.39724,-63.05554,15,"primary",0,0,0,0
"ul_08B",-9.39656,-63.05618,15,"primary",0,0,0,0
"ul_09A",-9.38923,-63.03491,15,"primary",0,0,0,0
"ul_09B",-9.39025,-63.03491,15,"primary",0,0,0,0
"ul_10A",-9.38381,-63.01561,15,"primary",0,0,0,0
"ul_10B",-9.38325,-63.01636,15,"primary",0,0,0,0
"ul_11A",-9.37011,-63.00832,15,"primary",0,0,0,0
"ul_11B",-9.36959,-63.009,15,"primary",0,0,0,0
"ul_19A",-9.38302,-63.02854,15,"primary",0,0,0,0
"ul_19B",-9.38247,-63.02928,15,"primary",0,0,0,0
"PRId_I1",-9.39920328,-63.04246483,16,"primary",0,0,0,0
"PRId_I2",-9.39945088,-63.04363243,16,"primary",0,0,0,0
"PRId_I3",-9.39987986,-63.04464706,16,"primary",0,0,0,0
"PRId_I4",-9.40098418,-63.04519641,16,"primary",0,0,0,0
"PRIp_I1",-9.37240206,-62.91606221,16,"primary",0,0,0,0
"PRIp_I2",-9.37139036,-62.91651517,16,"primary",0,0,0,0
"PRIp_I3",-9.37056667,-62.9173361,16,"primary",0,0,0,0
"PRIp_I4",-9.37020063,-62.91840848,16,"primary",0,0,0,0
"UPA2d_I1",-9.3924706,-62.97264651,16,"logged",4.77,2.69491525423729,1,4.77
"UPA2d_I2",-9.39256892,-62.97373381,16,"logged",3.05,1.72316384180791,1,3.05
"UPA2d_I3",-9.39315666,-62.97481466,16,"logged",30.49,17.225988700565,5,6.098
"UPA2d_I4",-9.39341121,-62.9759769,16,"logged",3.94,2.22598870056497,1,3.94
"UPA2p_I1",-9.38128696,-62.98608354,16,"logged",6.36,3.59322033898305,1,6.36
"UPA2p_I2",-9.38239505,-62.98599981,16,"logged",0,0,0,0
"UPA2p_I3",-9.38332812,-62.98547912,16,"logged",0,0,0,0
"UPA2p_I4",-9.38453017,-62.98555573,16,"logged",5.58,3.15254237288136,1,5.58
"UPA4d_I1",-9.36254662,-62.94000428,16,"logged",12.65,7.14689265536723,3,4.21666666666667
"UPA4d_I2",-9.361607,-62.93947287,16,"logged",18.32,10.3502824858757,4,4.58
"UPA4d_I3",-9.36093939,-62.93838071,16,"logged",15.91,8.98870056497175,3,5.30333333333333
"UPA4d_I4",-9.35990782,-62.9377379,16,"logged",8.29,4.68361581920904,3,2.76333333333333
"UPA4p_I1",-9.37248462,-62.94654476,16,"logged",33.22,18.7683615819209,5,6.644
"UPA4p_I2",-9.37151173,-62.94698607,16,"logged",27.88,15.7514124293785,4,6.97
"UPA4p_I3",-9.37042619,-62.94739469,16,"logged",33.81,19.1016949152542,5,6.762
"UPA4p_I4",-9.36938608,-62.94761463,16,"logged",31.84,17.9887005649718,4,7.96
"UPA5d_I1",-9.40191826,-62.94842256,16,"logged",15.56,8.7909604519774,3,5.18666666666667
"UPA5d_I2",-9.40073406,-62.94839876,16,"logged",62.24,35.1638418079096,11,5.65818181818182
"UPA5d_I3",-9.39956177,-62.94851485,16,"logged",39.04,22.0564971751412,7,5.57714285714286
"UPA5d_I4",-9.39847841,-62.94866237,16,"logged",17.38,9.81920903954802,4,4.345
"UPA5p_I1",-9.40140679,-62.9217837,16,"logged",40.77,23.0338983050847,2,20.385
"UPA5p_I2",-9.40234322,-62.92221411,16,"logged",4.79,2.70621468926554,1,4.79
"UPA5p_I3",-9.40288436,-62.92323486,16,"logged",0,0,0,0
"UPA5p_I4",-9.40328677,-62.9242515,16,"logged",14.65,8.27683615819209,2,7.325
